1;I/O / TDI;B
2;I/O;B
3;I/O;B
4;GND;W
5;I/O;B
6;I/O;B
7;I/O / TMS;B
8;I/O;B
9;VCC;W
10;I/O;B
11;GND;W
12;I/O;B
13;I/O;B
14;I/O;B
15;I/O;B
16;GND;W
17;VCC;W
18;I/O;B
19;I/O;B
20;I/O;B
21;I/O;B
22;I/O;B
23;I/O;B
24;GND;W
25;I/O;B
26;I/O / TCK;B
27;I/O;B
28;I/O;B
29;VCC;W
30;GND;W
31;I/O;B
32;I/O / TDO;B
33;I/O;B
34;I/O;B
35;I/O;B
36;GND;W
37;INPUT / GCLK1;I
38;INPUT / OE1;I
39;INPUT / GCLRn;I
40;INPUT / OE2 / GCLK2;I
41;VCC;W
42;I/O;B
43;I/O;B
44;I/O;B
