1;A15
2;A14
3;A13
4;A12
5;A11
6;nCE
7;IO0
8;IO1
9;IO2
10;IO3
11;VDD
12;GND
13;IO4
14;IO5
15;IO6
16;IO7
17;nWE
18;A10
19;A9
20;A8
21;A7
22;NC
23;NC
24;A6
25;A5
26;A4
27;A3
28;NC
29;IO8
30;IO9
31;IO10
32;IO11
33;VDD
34;GND
35;IO12
36;IO13
37;IO14
38;IO15
39;nLB
40;nUB
41;nOE
42;A2
43;A1
44;A0
